,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
AC004241.1,7.494666641977276,-0.5632089541284073,0.7879138431781146,-0.714810329840961,0.4747262513234728,0.9999963907630119,False
AC004241.3,5.391767067330292,-2.787874252799731,1.1230528215773568,-2.4824070597891286,0.013049810533778775,0.9999963907630119,False
AC004241.5,3.3995118269134643,-0.31864646576379063,1.1884100877526684,-0.2681283750850382,0.7886005050814244,0.9999963907630119,False
AC004253.1,10.401343344271886,-0.4512056637810721,0.7459934318838507,-0.604838654734059,0.545286206913201,0.9999963907630119,False
AC004263.1,3.8046927917488573,1.592162440539619,1.190526768090862,1.3373596320667558,0.18110527459955494,0.9999963907630119,False
AC004264.2,2.052897681670182,0.22340210435630276,1.6936177627437972,0.13190821994826823,0.8950568868669283,0.9999963907630119,False
AC004381.1,1.6872958006746777,0.888044861076596,1.9809949459442726,0.4482822446845241,0.6539495130124254,0.9999963907630119,False
AC004381.2,12.434862120483741,-0.4358174177979179,0.6622176760071082,-0.6581180684057123,0.5104622664184324,0.9999963907630119,False
AC004381.3,3.1697557448810407,0.084142705862571,1.4225683584075235,0.05914844468828444,0.9528338728752095,0.9999963907630119,False
AC004383.1,2.30331697686264,-1.7799178005208733,1.516887961550104,-1.1734009667411294,0.24063504973227523,0.9999963907630119,False
AC004453.1,25.993053387161584,0.14401878266732202,0.47417640820247037,0.3037240574942878,0.7613381280819302,0.9999963907630119,False
AC004461.2,6.061758365412402,0.04672106355643186,0.8717833659382856,0.05359251550543956,0.9572598197053815,0.9999963907630119,False
AC004466.2,1.7456604817418386,3.1721599725880916,2.199207669254917,1.4424103812182534,0.14918663697050022,0.9999963907630119,False
AC004471.1,4.57183383779385,-0.014158279864459455,1.1173594515528016,-0.012671195330010949,0.9898901194190322,0.9999963907630119,False
AC004477.1,7.950247314693743,-0.03813873750676639,0.7800229131695102,-0.048894381001956914,0.9610034668191129,0.9999963907630119,False
AC004477.3,3.8279366798762466,-1.790301929304837,1.2260193291385169,-1.4602558758700996,0.1442197639134278,0.9999963907630119,False
AC004490.1,9.7214788188533,-0.6897289491651594,0.779964437884486,-0.8843082013276474,0.3765298622309148,0.9999963907630119,False
AC004491.1,2.112005462440553,0.704156773120752,1.6357530027011378,0.4304786675971065,0.6668474812055629,0.9999963907630119,False
AC004492.1,12.921870192644128,-0.06291092921477462,0.6621056157978208,-0.09501645615702642,0.9243017559344202,0.9999963907630119,False
AC004494.1,3.990532109886797,0.33081549703911234,1.0882812721256887,0.3039797757366034,0.7611432991553995,0.9999963907630119,False
AC004540.1,6.86993012573443,-0.20909839994137697,0.8965766830249536,-0.2332186458785671,0.8155916277013371,0.9999963907630119,False
AC004540.2,5.9836607370192665,-0.7978015133911508,0.9263690361717672,-0.8612134929380589,0.389120469997829,0.9999963907630119,False
AC004552.1,9.493846629969616,-0.2848597391458119,0.7787763276736407,-0.36577863119792614,0.7145302663846931,0.9999963907630119,False
AC004556.1,45.057277932047064,0.7990812999149633,0.3764259500089384,2.1228114052604203,0.0337696587301975,0.9999963907630119,False
AC004584.1,2.332352058892724,3.61346517567178,1.8904730531613432,1.9114079249260725,0.05595217906482547,0.9999963907630119,False
AC004596.1,7.908129852402888,0.7286520699664709,0.8557769435997831,0.851450924701748,0.39451891347530477,0.9999963907630119,False
AC004623.1,2.9029866767434434,1.7872086077760652,1.5068612454920096,1.1860472310391914,0.2356036478868132,0.9999963907630119,False
AC004637.1,12.207777406584164,-0.11651545000871484,0.7005082057807308,-0.16632988599877424,0.8678973479914525,0.9999963907630119,False
AC004656.1,174.16861516145227,0.033259368131497775,0.1975004810024156,0.16840145382274277,0.8662674644532683,0.9999963907630119,False
AC004672.1,3.023398038310201,1.3949687063886296,1.3140941513716,1.061543957815059,0.28844276703768923,0.9999963907630119,False
AC004678.1,7.525874442479025,0.1537672924438779,0.9035023042060244,0.1701902604210897,0.8648605110399965,0.9999963907630119,False
AC004678.2,7.761649144914443,-0.30758263330269187,0.8321897272091955,-0.36960638090810255,0.7116757960114912,0.9999963907630119,False
